#date,total,ml_rejected,threshold,ghost_total,ghost_movers,total_movers,promoted,atticpossible,recoveredmovers,seeing
2015-07-04 00:00:00,3532.0,2986.0,0.436,144.0,2.0,16.0,11,0,14,3.17672012
2015-07-05 00:00:00,2538.0,2357.0,0.436,45.0,3.0,15.0,6,1,11,4.46637224
2015-07-06 00:00:00,1631.0,1541.0,0.436,27.0,0.0,0.0,3,0,0,4.96052289
2015-07-07 00:00:00,5952.0,5187.0,0.436,256.0,3.0,23.0,14,1,18,4.39296858
2015-07-08 00:00:00,9423.0,7897.0,0.436,416.0,3.0,39.0,9,7,13,3.71574461
2015-07-09 00:00:00,1663.0,1467.0,0.436,72.0,14.0,33.0,1,0,19,3.53087379
2015-07-10 00:00:00,4686.0,3956.0,0.436,208.0,48.0,197.0,5,4,135,3.35798165
2015-07-11 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-07-12 00:00:00,401.0,369.0,0.436,11.0,5.0,12.0,0,0,6,3.86463554
2015-07-13 00:00:00,4877.0,3625.0,0.436,288.0,117.0,554.0,10,59,427,3.37976018
2015-07-14 00:00:00,2022.0,1619.0,0.436,31.0,11.0,105.0,4,4,92,5.33912596
2015-07-15 00:00:00,6909.0,6259.0,0.436,114.0,67.0,456.0,6,7,364,5.4978119
2015-07-16 00:00:00,5.0,0.0,0.436,1.0,1.0,4.0,0,1,3,4.76261814815
2015-07-17 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-07-18 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-07-19 00:00:00,8862.0,8703.0,0.436,39.0,37.0,148.0,3,8,98,6.61387507
2015-07-20 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,3.69233112
2015-07-21 00:00:00,6536.0,5122.0,0.436,378.0,115.0,548.0,8,3,399,0
2015-07-22 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-07-23 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-07-24 00:00:00,4113.0,2388.0,0.436,322.0,206.0,1011.0,9,0,784,3.91510089
2015-07-25 00:00:00,2329.0,2059.0,0.436,66.0,7.0,36.0,9,3,24,3.90520032
2015-07-26 00:00:00,7756.0,5889.0,0.436,326.0,94.0,584.0,10,7,411,3.0739436
2015-07-27 00:00:00,4595.0,3510.0,0.436,266.0,43.0,244.0,6,9,195,3.80027129
2015-07-28 00:00:00,2424.0,2120.0,0.436,80.0,10.0,74.0,2,0,59,3.5280802
2015-07-29 00:00:00,3577.0,2553.0,0.436,161.0,67.0,536.0,2,2,459,3.3627971
2015-07-30 00:00:00,395.0,189.0,0.436,33.0,27.0,178.0,0,7,142,3.54203005
2015-07-31 00:00:00,3728.0,2983.0,0.436,188.0,53.0,373.0,9,14,305,3.48147513
2015-08-01 00:00:00,2675.0,2235.0,0.436,112.0,7.0,219.0,3,0,208,3.7332253
2015-08-02 00:00:00,2574.0,2308.0,0.436,81.0,9.0,72.0,8,4,59,4.12398812
2015-08-03 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-08-04 00:00:00,8210.0,6602.0,0.436,472.0,0.0,39.0,5,0,35,3.21588362
2015-08-05 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-08-06 00:00:00,544.0,510.0,0.436,13.0,0.0,16.0,0,0,16,4.99282756
2015-08-07 00:00:00,4920.0,4164.0,0.436,241.0,28.0,145.0,1,0,108,4.13869637
2015-08-08 00:00:00,1072.0,909.0,0.436,47.0,24.0,81.0,1,0,56,3.80415932
2015-08-09 00:00:00,2562.0,2276.0,0.436,62.0,46.0,205.0,0,0,144,5.87620623
2015-08-10 00:00:00,3495.0,2761.0,0.436,147.0,72.0,461.0,15,43,377,4.33815102
2015-08-11 00:00:00,4906.0,4007.0,0.436,212.0,37.0,189.0,5,1,142,3.21946889
2015-08-12 00:00:00,2301.0,2000.0,0.436,80.0,14.0,101.0,0,8,73,3.61801785
2015-08-13 00:00:00,3690.0,2676.0,0.436,203.0,100.0,572.0,0,0,446,3.68717306
2015-08-14 00:00:00,553.0,469.0,0.436,22.0,15.0,49.0,4,12,34,4.67247466
2015-08-15 00:00:00,755.0,383.0,0.436,66.0,48.0,289.0,2,27,237,4.06526855
2015-08-16 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-08-17 00:00:00,386.0,362.0,0.436,3.0,1.0,17.0,0,3,14,4.66635652
2015-08-18 00:00:00,2473.0,2403.0,0.436,19.0,1.0,26.0,6,11,22,4.95154215
2015-08-19 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-08-20 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-08-21 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-08-22 00:00:00,3496.0,2502.0,0.436,260.0,87.0,379.0,9,1,285,3.92090502
2015-08-23 00:00:00,581.0,527.0,0.436,19.0,0.0,0.0,0,0,0,3.98702961
2015-08-24 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-08-25 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-08-26 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-08-27 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-08-28 00:00:00,1.0,1.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-08-29 00:00:00,1333.0,1183.0,0.436,72.0,9.0,37.0,2,0,28,3.72642637
2015-08-30 00:00:00,2761.0,2019.0,0.436,230.0,71.0,272.0,6,9,194,3.88792835
2015-08-31 00:00:00,2017.0,1823.0,0.436,74.0,21.0,78.0,3,3,54,4.24650875
2015-09-01 00:00:00,813.0,738.0,0.436,31.0,0.0,1.0,0,1,1,3.67800381
2015-09-02 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-09-03 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,0
2015-09-04 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,4.70712352
2015-09-05 00:00:00,0.0,0.0,0.436,0.0,0.0,0.0,0,0,0,4.0000116
2015-09-06 00:00:00,2487.0,2258.0,0.436,61.0,27.0,118.0,0,1,87,4.96323825
